"190","Electrical","Reed Switch Clamp","F03C.F51.047","Festo","SMBR-16","-","16mm clamp for Cylindrical Reed Switch"
"191","Electrical","Reed Switch Clamp","F03C.B49.161","Festo","SMBR-20","-","20mm clamp for Cylindrical Reed Switch"
"192","Electrical","Reed Switch Clamp","F03C.B41.031","Festo","SMBR-25","-","25mm clamp for Cylindrical Reed Switch"
"193","Electrical","Module Base","F03C.B56.531","IFM / Efector","AC 5011","-","IFM / Efector I/O Module Base"
"194","Electrical","Input Module","-","IFM / Efector","AC 2505","-","IFM / Efector Input Module"
"195","Electrical","I/O Module","-","IFM / Efector","AC 2007","-","Obsolete"
"195","Electrical","I/O Module","-","IFM / Efector","AC 2507","-","Replacement"
"196","Electrical","Output Module","-","IFM / Efector","-","-","-"
"197","Electrical","I/O Module","-","IFM / Efector","AC 2514","-","IFM / Efector I/O Module"
"198","Electrical","Controller","-","ADI","6000.2","-","Vibratory Controller"
"199","Electrical","Badge Reader","F03C.B48.852","Prosys","5030000093","-","Badge Reader"
"200","Mechanical","Shock Absorber","F03C.B02.397","ACE","MC 150MH","-","Prefered"
"200","Mechanical","Shock Absorber","F03C.B40.746","ACE","MC 150M","-","Optional"
"201","Mechanical","Shock Absorber","F03C.B61.393","ACE","MC 25MH-880","-","Prefered"
"201","Mechanical","Shock Absorber","F03C.B43.960","ACE","MC 25M","-","Optional"
"202","Mechanical","Shock Absorber","F03C.A30.923","Festo","YSR-5-5-C","-","-"
"203","Mechanical","Shock Absorber","-","Festo","DYSC-5-5-Y1F (548011)","-","Terminal Rotate Shock"
"210","Mechanical","Coupling","F03C.B61.491","Rotex","GS14/98/8X10/2.0","-","Bobbin Placement Motor Coupling"
"211","Mechanical","Coupling","F03C.B43.615","Festo","FK-M6","-","Self-Aligning Rod Coupler"
"212","Mechanical","Coupling","F03C.B42.717","Festo","FK-M5","-","Self-Aligning Rod Coupler"
"220","Mechanical","Bearing","-","-","-","-","Rod Type / Bobbin Placement On Table"
"221","Mechanical","Bearing","-","-","-","-","Rod Type / Bobbin Escapement @ Track"
"222","Mechanical","Bearing","-","-","-","-","Prosys Linear Motion Small"
"223","Mechanical","Bearing","-","-","-","-","Prosys Linear Motion Large"
"224","Mechanical","Bearing","F03C.B60.812","Deltron","N-1","-","Term Lift Bearing"
"250","Mechanical","Ball Detent","F03C.B51.063","Prosys","F207000000","-","Ball Detent Turntable Arbor"
"251","Mechanical","Dereeler Belt","F03C.B51.108","Fanuc","XGMF07746","-","O-RING 80MM ID,84MM OD,2MM WD"
